date,symbol,theme,setup,score,entry,stop,target,qty,invested,risk_inr,reward_inr,rr,news_sentiment,confirmed_15m,outcome,outcome_date,exit_price,pnl_inr,pnl_pct
2026-09-24,DIVISLAB,PHARMA,EMA20 Pullback,29,9612.0,9226.43,10768.71,3,28836,1157,3470,3.0,Positive,Yes,,,,,
2026-09-24,CASTROLIND,OTHER,EMA20 Pullback,29,194.77,190.1,208.78,267,52004,1247,3741,3.0,Positive,Yes,,,,,
2026-09-24,AUROPHARMA,PHARMA,EMA20 Pullback,29,1729.2,1656.76,1946.53,17,29396,1232,3695,3.0,Positive,Yes,,,,,
2026-09-24,ABDL,FMCG,Volume Breakout,34,678.0,635.6,805.2,29,19662,1230,3689,3.0,Positive,Yes,,,,,
2026-09-24,CARBORUNIV,INFRA,ATH Breakout,29,1342.3,1229.87,1679.59,11,14765,1237,3710,3.0,Positive,Yes,,,,,
2026-09-24,RADICO,FMCG,EMA20 Pullback,29,4593.6,4396.81,5183.96,6,27562,1181,3542,3.0,Positive,No,,,,,
2026-09-24,APARINDS,INFRA,EMA20 Pullback,26,18115.0,17705.0,19345.0,3,54345,1230,3690,3.0,Positive,Yes,,,,,
2026-09-24,MANKIND,PHARMA,Trend Continuation,26,2482.2,2373.61,2807.96,11,27304,1194,3583,3.0,Positive,Yes,,,,,
2026-09-24,BEML,DEFENCE,EMA20 Pullback,25,2078.5,1973.58,2393.26,11,22864,1154,3462,3.0,Neutral,No,,,,,
2026-09-24,WELSPUNLIV,OTHER,ATH Breakout,23,222.82,211.46,256.9,110,24510,1250,3749,3.0,Positive,No,,,,,
2026-09-24,ACE,INFRA,ATH Breakout,26,1252.2,1202.0,1402.8,24,30053,1205,3614,3.0,Neutral,Yes,,,,,
2026-09-24,APLAPOLLO,INFRA,EMA20 Pullback,26,2202.8,2110.0,2481.2,13,28636,1206,3619,3.0,Neutral,Yes,,,,,
2026-09-25,ACMESOLAR,RENEW,Trend Continuation,25,445.15,411.5,546.1,37,16471,1245,3735,3.0,Positive,No,,,,,
2026-09-25,BALRAMCHIN,FMCG,EMA20 Pullback,26,677.95,651.3,757.9,46,31186,1226,3678,3.0,Positive,Yes,,,,,
